%set    tod     btype   looped  sounds -1
%desert day nonlooped water sounds
0       0       3       0       20 23 61 61 -1
0       0       14      0       20 23 61 61 -1
0       0       15      0       20 23 61 61 -1
0       0       16      0       20 23 61 61 -1
0       0       17      0       20 23 61 61 -1
%desert night looped water
0       1       3       0       19 169 170 60 61 61 61 -1
0       1       14      0       19 169 170 60 61 61 61 -1
0       1       15      0       19 169 170 60 61 61 61 -1
0       1       16      0       19 169 170 60 61 61 61 -1
0       1       17      0       19 169 170 60 61 61 61 -1
%desert day buildings
0       0       7       0       58 59 57 -1
%desert night buildings
0       1       7       0       58 59 57 -1
%desert day land 
0       0       1       0       20 23 169 170 -1
0       0       10      0       20 23 169 170 -1
0       0       11      0       20 23 169 170 -1
0       0       12      0       20 23 169 170 -1
0       0       13      0       20 23 169 170 -1
%desert night land 
0       1       1       0       19 60 -1
0       1       10      0       19 60 -1
0       1       11      0       19 60 -1
0       1       12      0       19 60 -1
0       1       13      0       19 60 -1
%desert day spider 
0       0       18      0       20 171 172 -1 
0       0       19      0       20 171 172 -1
0       0       20      0       20 171 172 -1
0       0       21      0       20 171 172 -1
0       0       22      0       20 171 172 -1
0       0       23      0       20 171 172 -1
0       0       24      0       20 171 172 -1
%desert day spider 
0       1       18      0       60 171 172 -1 
0       1       19      0       60 171 172 -1
0       1       20      0       60 171 172 -1
0       1       21      0       60 171 172 -1
0       1       22      0       60 171 172 -1
0       1       23      0       60 171 172 -1
0       1       24      0       60 171 172 -1

